KEY;SURVEY_DATE;OFFICE_LOCATION;STATEMENT;RATING
1;2020-01-01;2500-0001;I have a really interesting  job.;3
2;2020-01-01;2500-0001;Most of the time I enjoy going to work.;1
3;2020-01-01;2500-0001;I'm often bored at work.;6
4;2020-01-01;2500-0001;If I could, I would like to change careers.;6
5;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;3
6;2020-01-01;2500-0001;I can always trust the colleagues in my team.;2
7;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;6
8;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.,8
9;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;8
10;2020-01-01;2500-0001;I'm often working under time pressure.;7
11;2020-01-01;2500-0001;I have a really interesting  job.;2
12;2020-01-01;2500-0001;Most of the time I enjoy going to work.;1
13;2020-01-01;2500-0001;I'm often bored at work.;7
14;2020-01-01;2500-0001;If I could, I would like to change careers.;8
15;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;3
16;2020-01-01;2500-0001;I can always trust the colleagues in my team.;2
17;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;6
18;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;7
19;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;8
20;2020-01-01;2500-0001;I'm often working under time pressure.;9
21;2020-01-01;2500-0001;I have a really interesting  job.;3
22;2020-01-01;2500-0001;Most of the time I enjoy going to work.;2
23;2020-01-01;2500-0001;I'm often bored at work.;8
24;2020-01-01;2500-0001;If I could, I would like to change careers.;8
25;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;3
26;2020-01-01;2500-0001;I can always trust the colleagues in my team.;2
27;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;8
28;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;9
29;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;6
30;2020-01-01;2500-0001;I'm often working under time pressure.;7
31;2020-01-01;2500-0001;I have a really interesting  job.;2
32;2020-01-01;2500-0001;Most of the time I enjoy going to work.;3
33;2020-01-01;2500-0001;I'm often bored at work.;7
34;2020-01-01;2500-0001;If I could, I would like to change careers.;6
35;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
36;2020-01-01;2500-0001;I can always trust the colleagues in my team.;2
37;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;6
38;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;8
39;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;8
40;2020-01-01;2500-0001;I'm often working under time pressure.;6
41;2020-01-01;2500-0001;I have a really interesting  job.;2
42;2020-01-01;2500-0001;Most of the time I enjoy going to work.;3
43;2020-01-01;2500-0001;I'm often bored at work.;9
44;2020-01-01;2500-0001;If I could, I would like to change careers.;6
45;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;3
46;2020-01-01;2500-0001;I can always trust the colleagues in my team.;1
47;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;7
48;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
49;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;8
50;2020-01-01;2500-0001;I'm often working under time pressure.;9
51;2020-01-01;2500-0001;I have a really interesting  job.;3
52;2020-01-01;2500-0001;Most of the time I enjoy going to work.;1
53;2020-01-01;2500-0001;I'm often bored at work.;6
54;2020-01-01;2500-0001;If I could, I would like to change careers.;9
55;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
56;2020-01-01;2500-0001;I can always trust the colleagues in my team.;2
57;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;9
58;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
59;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;6
60;2020-01-01;2500-0001;I'm often working under time pressure.;7
61;2020-01-01;2500-0001;I have a really interesting  job.;3
62;2020-01-01;2500-0001;Most of the time I enjoy going to work.;2
63;2020-01-01;2500-0001;I'm often bored at work.;7
64;2020-01-01;2500-0001;If I could, I would like to change careers.;6
65;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
66;2020-01-01;2500-0001;I can always trust the colleagues in my team.;3
67;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;6
68;2020-01-01;2500-0001;It's sometimes difficult to remain a good relation to all colleagues.;6
69;2020-01-01;2500-0001;After work, I'm exhausted in the evening.;8
70;2020-01-01;2500-0001;I'm often working under time pressure.;7
71;2020-01-01;2500-0001;I have a really interesting  job.;2
72;2020-01-01;2500-0001;Most of the time I enjoy going to work.;2
73;2020-01-01;2500-0001;I'm often bored at work.;6
74;2020-01-01;2500-0001;If I could, I would like to change careers.;9
75;2020-01-01;2500-0001;I'm satisified with the relations between colleagues in my team.;1
76;2020-01-01;2500-0001;I can always trust the colleagues in my team.;2
77;2020-01-01;2500-0001;It would not bother me if some colleagues of my team would be replaced.;8
