"MANDT","KURST","FCURR","TCURR","GDATU","UKURS","FFACT","TFACT"
"000","M","USD","EUR","2010-12-31","0.75460","0","0"
"000","M","USD","EUR","2010-12-30","0.76100","0","0"
"000","M","USD","EUR","2010-12-28","0.76130","0","0"
"000","M","USD","EUR","2010-12-27","0.76240","0","0"
"000","M","USD","EUR","2010-12-26","0.76240","0","0"
"000","M","USD","EUR","2010-12-25","0.76220","0","0"
"000","M","USD","EUR","2010-12-24","0.76310","0","0"
"000","M","USD","EUR","2010-12-23","0.76240","0","0"
"000","M","USD","EUR","2010-12-22","0.76080","0","0"
"000","M","USD","EUR","2010-12-19","0.75850","0","0"
"000","M","USD","EUR","2010-12-18","0.75470","0","0"
"000","M","USD","EUR","2010-12-17","0.75620","0","0"
"000","M","USD","EUR","2010-12-16","0.75050","0","0"
"000","M","USD","EUR","2010-12-15","0.74580","0","0"
"000","M","USD","EUR","2010-12-14","0.75410","0","0"
"000","M","USD","EUR","2010-12-13","0.75630","0","0"
"000","M","USD","EUR","2010-12-12","0.75630","0","0"
"000","M","USD","EUR","2010-12-11","0.75530","0","0"
"000","M","USD","EUR","2010-12-10","0.75450","0","0"
"000","M","USD","EUR","2010-12-09","0.75550","0","0"
"000","M","USD","EUR","2010-12-08","0.75010","0","0"
"000","M","USD","EUR","2010-12-06","0.74560","0","0"
"000","M","USD","EUR","2010-12-05","0.74560","0","0"
"000","M","USD","EUR","2010-12-02","0.76600","0","0"
"000","M","USD","EUR","2010-12-01","0.76550","0","0"
"000","M","USD","EUR","2010-11-29","0.75510","0","0"
"000","M","USD","EUR","2010-11-28","0.75550","0","0"
"000","M","USD","EUR","2010-11-27","0.75300","0","0"
"000","M","USD","EUR","2010-11-26","0.74980","0","0"
"000","M","USD","EUR","2010-11-20","0.73200","0","0"
"000","M","USD","EUR","2010-11-17","0.73660","0","0"
"000","M","USD","EUR","2010-11-16","0.73240","0","0"
"000","M","USD","EUR","2010-11-11","0.72650","0","0"
"000","M","USD","EUR","2010-11-08","0.71290","0","0"
"000","M","USD","EUR","2010-11-07","0.71290","0","0"
"000","M","USD","EUR","2010-11-06","0.70700","0","0"
"000","M","USD","EUR","2010-11-01","0.71720","0","0"
"000","M","USD","EUR","2010-10-31","0.71730","0","0"
"000","M","USD","EUR","2010-10-28","0.72500","0","0"
"000","M","USD","EUR","2010-10-25","0.71670","0","0"
"000","M","USD","EUR","2010-10-22","0.71590","0","0"
"000","M","USD","EUR","2010-10-21","0.72090","0","0"
"000","M","USD","EUR","2010-10-18","0.71560","0","0"
"000","M","USD","EUR","2010-10-14","0.71620","0","0"
"000","M","USD","EUR","2010-10-08","0.71730","0","0"
"000","M","USD","EUR","2010-10-06","0.72560","0","0"
"000","M","USD","EUR","2010-10-04","0.72530","0","0"
"000","M","USD","EUR","2010-10-03","0.72540","0","0"
"000","M","USD","EUR","2010-10-01","0.73410","0","0"
"000","M","USD","EUR","2010-09-30","0.73480","0","0"
"000","M","USD","EUR","2010-09-29","0.74090","0","0"
"000","M","USD","EUR","2010-09-27","0.74150","0","0"
"000","M","USD","EUR","2010-09-26","0.74140","0","0"
"000","M","USD","EUR","2010-09-24","0.74910","0","0"
"000","M","USD","EUR","2010-09-21","0.76480","0","0"
"000","M","USD","EUR","2010-09-20","0.76650","0","0"
"000","M","USD","EUR","2010-09-19","0.76650","0","0"
"000","M","USD","EUR","2010-09-17","0.76590","0","0"
"000","M","USD","EUR","2010-09-16","0.76980","0","0"
"000","M","USD","EUR","2010-09-15","0.77400","0","0"
"000","M","USD","EUR","2010-09-12","0.78890","0","0"
"000","M","USD","EUR","2010-09-09","0.78650","0","0"
"000","M","USD","EUR","2010-09-06","0.77580","0","0"
"000","M","USD","EUR","2010-09-05","0.77580","0","0"
"000","M","USD","EUR","2010-09-03","0.78050","0","0"
"000","M","USD","EUR","2010-09-02","0.78260","0","0"
"000","M","USD","EUR","2010-08-30","0.78380","0","0"
"000","M","USD","EUR","2010-08-29","0.78380","0","0"
"000","M","USD","EUR","2010-08-26","0.79040","0","0"
"000","M","USD","EUR","2010-08-25","0.79080","0","0"
"000","M","USD","EUR","2010-08-12","0.77040","0","0"
"000","M","USD","EUR","2010-08-11","0.76080","0","0"
"000","M","USD","EUR","2010-08-10","0.75450","0","0"
"000","M","USD","EUR","2010-08-09","0.75330","0","0"
"000","M","USD","EUR","2010-08-08","0.75330","0","0"
"000","M","USD","EUR","2010-08-07","0.75580","0","0"
"000","M","USD","EUR","2010-08-06","0.75920","0","0"
"000","M","USD","EUR","2010-08-05","0.75830","0","0"
"000","M","USD","EUR","2010-08-04","0.75680","0","0"
"000","M","USD","EUR","2010-08-03","0.76240","0","0"
"000","M","USD","EUR","2010-08-02","0.76650","0","0"
"000","M","USD","EUR","2010-08-01","0.76650","0","0"
"000","M","USD","EUR","2010-07-30","0.76550","0","0"
"000","M","USD","EUR","2010-07-29","0.76920","0","0"
"000","M","USD","EUR","2010-07-26","0.77500","0","0"
"000","M","USD","EUR","2010-07-19","0.77380","0","0"
"000","M","USD","EUR","2010-07-18","0.77370","0","0"
"000","M","USD","EUR","2010-07-17","0.77270","0","0"
"000","M","USD","EUR","2010-07-14","0.79190","0","0"
"000","M","USD","EUR","2010-07-13","0.79490","0","0"
"000","M","USD","EUR","2010-07-11","0.79140","0","0"
"000","M","USD","EUR","2010-07-09","0.78960","0","0"
"000","M","USD","EUR","2010-07-08","0.79360","0","0"
"000","M","USD","EUR","2010-06-16","0.81520","0","0"
"000","M","USD","EUR","2010-05-31","0.81520","0","0"
"000","M","USD","EUR","2010-05-20","0.81520","0","0"
"000","M","USD","EUR","2010-05-14","0.79400","0","0"
"000","M","USD","EUR","2010-05-08","0.78650","0","0"
"000","M","USD","EUR","2010-05-06","0.77500","0","0"
"000","M","USD","EUR","2010-05-04","0.75670","0","0"
"000","M","USD","EUR","2010-05-02","0.75270","0","0"
"000","M","USD","EUR","2010-05-01","0.75220","0","0"
"000","M","USD","EUR","2010-04-30","0.75550","0","0"
"000","M","USD","EUR","2010-04-29","0.75820","0","0"
"000","M","USD","EUR","2010-04-28","0.75200","0","0"
"000","M","USD","EUR","2010-04-24","0.75120","0","0"
"000","M","USD","EUR","2010-04-19","0.74130","0","0"
"000","M","USD","EUR","2010-04-18","0.74090","0","0"
"000","M","USD","EUR","2010-04-15","0.73310","0","0"
"000","M","USD","EUR","2010-04-14","0.73600","0","0"
"000","M","USD","EUR","2010-04-12","0.74090","0","0"
"000","M","USD","EUR","2010-04-11","0.74100","0","0"
"000","M","USD","EUR","2010-04-09","0.75040","0","0"
"000","M","USD","EUR","2010-04-08","0.74830","0","0"
"000","M","USD","EUR","2010-04-07","0.74640","0","0"
"000","M","USD","EUR","2010-04-06","0.74140","0","0"
"000","M","USD","EUR","2010-04-05","0.74110","0","0"
"000","M","USD","EUR","2010-04-04","0.74110","0","0"
"000","M","USD","EUR","2010-04-03","0.73860","0","0"
"000","M","USD","EUR","2010-03-30","0.74270","0","0"
"000","M","USD","EUR","2010-03-29","0.74550","0","0"
"000","M","USD","EUR","2010-03-26","0.75060","0","0"
"000","M","USD","EUR","2010-03-24","0.73990","0","0"
"000","M","USD","EUR","2010-03-18","0.72650","0","0"
"000","M","USD","EUR","2010-03-15","0.72650","0","0"
"000","M","USD","EUR","2010-03-14","0.72650","0","0"
"000","M","USD","EUR","2010-03-11","0.73450","0","0"
"000","M","USD","EUR","2010-03-10","0.73600","0","0"
"000","M","USD","EUR","2010-03-09","0.73240","0","0"
"000","M","USD","EUR","2010-03-08","0.73420","0","0"
"000","M","USD","EUR","2010-03-07","0.73420","0","0"
"000","M","USD","EUR","2010-03-05","0.73370","0","0"
"000","M","USD","EUR","2010-03-04","0.73200","0","0"
"000","M","USD","EUR","2010-03-02","0.73720","0","0"
"000","M","USD","EUR","2010-03-01","0.73380","0","0"
"000","M","USD","EUR","2010-02-28","0.73400","0","0"
"000","M","USD","EUR","2010-02-27","0.73530","0","0"
"000","M","USD","EUR","2010-02-24","0.73660","0","0"
"000","M","USD","EUR","2010-02-23","0.73490","0","0"
"000","M","USD","EUR","2010-02-22","0.73480","0","0"
"000","M","USD","EUR","2010-02-21","0.73490","0","0"
"000","M","USD","EUR","2010-02-20","0.73950","0","0"
"000","M","USD","EUR","2010-02-19","0.73620","0","0"
"000","M","USD","EUR","2010-02-17","0.73050","0","0"
"000","M","USD","EUR","2010-02-15","0.73390","0","0"
"000","M","USD","EUR","2010-02-14","0.73380","0","0"
"000","M","USD","EUR","2010-02-10","0.72900","0","0"
"000","M","USD","EUR","2010-02-09","0.73170","0","0"
"000","M","USD","EUR","2010-02-06","0.73050","0","0"
"000","M","USD","EUR","2010-02-01","0.72160","0","0"
"000","M","USD","EUR","2010-01-31","0.72160","0","0"
"000","M","USD","EUR","2010-01-24","0.70770","0","0"
"000","M","USD","EUR","2010-01-23","0.70790","0","0"
"000","M","USD","EUR","2010-01-21","0.70510","0","0"
"000","M","USD","EUR","2010-01-20","0.69700","0","0"
"000","M","USD","EUR","2010-01-18","0.69550","0","0"
"000","M","USD","EUR","2010-01-16","0.69370","0","0"
"000","M","USD","EUR","2010-01-15","0.68910","0","0"
"000","M","USD","EUR","2010-01-14","0.68960","0","0"
"000","M","USD","EUR","2010-01-10","0.69420","0","0"
"000","M","USD","EUR","2010-01-09","0.69770","0","0"
"000","M","USD","EUR","2010-01-07","0.69620","0","0"
"000","M","USD","EUR","2010-01-06","0.69370","0","0"
"000","M","USD","EUR","2010-01-05","0.69670","0","0"
"000","M","USD","EUR","2010-01-04","0.69890","0","0"
"000","M","USD","EUR","2010-01-03","0.69500","0","0"
"000","M","USD","EUR","2010-01-02","0.69890","0","0"
"000","M","USD","EUR","2009-12-31","0.69770","0","0"
"000","M","USD","EUR","2009-12-30","0.69500","0","0"
"000","M","USD","EUR","2009-12-29","0.69500","0","0"
"000","M","USD","EUR","2009-12-28","0.69530","0","0"
"000","M","USD","EUR","2009-12-27","0.69460","0","0"
"000","M","USD","EUR","2009-12-26","0.69550","0","0"
"000","M","USD","EUR","2009-12-25","0.69640","0","0"
"000","M","USD","EUR","2009-12-24","0.70040","0","0"
"000","M","USD","EUR","2009-12-22","0.69810","0","0"
"000","M","USD","EUR","2009-12-20","0.69770","0","0"
"000","M","USD","EUR","2009-12-19","0.69680","0","0"
"000","M","USD","EUR","2009-12-18","0.69420","0","0"
"000","M","USD","EUR","2009-12-14","0.68430","0","0"
"000","M","USD","EUR","2009-12-11","0.67910","0","0"
"000","M","USD","EUR","2009-12-10","0.67920","0","0"
"000","M","USD","EUR","2009-12-09","0.67580","0","0"
"000","M","USD","EUR","2009-12-08","0.67370","0","0"
"000","M","USD","EUR","2009-12-07","0.67330","0","0"
"000","M","USD","EUR","2009-12-06","0.67340","0","0"
"000","M","USD","EUR","2009-12-03","0.66320","0","0"
"000","M","USD","EUR","2009-11-30","0.66730","0","0"
"000","M","USD","EUR","2009-11-27","0.66330","0","0"
"000","M","USD","EUR","2009-11-23","0.67300","0","0"
"000","M","USD","EUR","2009-11-22","0.67300","0","0"
"000","M","USD","EUR","2009-11-16","0.67110","0","0"
"000","M","USD","EUR","2009-11-14","0.67230","0","0"
"000","M","USD","EUR","2009-11-09","0.67350","0","0"
"000","M","USD","EUR","2009-11-08","0.67370","0","0"
"000","M","USD","EUR","2009-11-07","0.67260","0","0"
"000","M","USD","EUR","2009-10-28","0.67310","0","0"
"000","M","USD","EUR","2009-10-26","0.66660","0","0"
"000","M","USD","EUR","2009-10-24","0.66560","0","0"
"000","M","USD","EUR","2009-10-12","0.67910","0","0"
"000","M","USD","EUR","2009-10-11","0.67910","0","0"
"000","M","USD","EUR","2009-10-10","0.67860","0","0"
"000","M","USD","EUR","2009-10-06","0.68370","0","0"
"000","M","USD","EUR","2009-09-29","0.68340","0","0"
"000","M","USD","EUR","2009-09-28","0.68090","0","0"
"000","M","USD","EUR","2009-09-26","0.68170","0","0"
"000","M","USD","EUR","2009-09-25","0.67920","0","0"
"000","M","USD","EUR","2009-09-23","0.67780","0","0"
"000","M","USD","EUR","2009-09-22","0.68150","0","0"
"000","M","USD","EUR","2009-09-21","0.68000","0","0"
"000","M","USD","EUR","2009-09-20","0.68000","0","0"
"000","M","USD","EUR","2009-09-19","0.67970","0","0"
"000","M","USD","EUR","2009-09-17","0.68090","0","0"
"000","M","USD","EUR","2009-09-11","0.68670","0","0"
"000","M","USD","EUR","2009-09-10","0.68870","0","0"
"000","M","USD","EUR","2009-09-08","0.69770","0","0"
"000","M","USD","EUR","2009-09-07","0.70000","0","0"
"000","M","USD","EUR","2009-09-06","0.70000","0","0"
"000","M","USD","EUR","2009-09-05","0.70100","0","0"
"000","M","USD","EUR","2009-09-04","0.70040","0","0"
"000","M","USD","EUR","2009-09-02","0.69900","0","0"
"000","M","USD","EUR","2009-08-31","0.69940","0","0"
"000","M","USD","EUR","2009-08-30","0.69940","0","0"
"000","M","USD","EUR","2009-08-28","0.70110","0","0"
"000","M","USD","EUR","2009-08-25","0.69830","0","0"
"000","M","USD","EUR","2009-08-24","0.69820","0","0"
"000","M","USD","EUR","2009-08-23","0.69830","0","0"
"000","M","USD","EUR","2009-08-22","0.70000","0","0"
"000","M","USD","EUR","2009-08-21","0.70260","0","0"
"000","M","USD","EUR","2009-08-17","0.70440","0","0"
"000","M","USD","EUR","2009-08-16","0.70430","0","0"
"000","M","USD","EUR","2009-08-14","0.70160","0","0"
"000","M","USD","EUR","2009-08-11","0.70530","0","0"
"000","M","USD","EUR","2009-08-10","0.70530","0","0"
"000","M","USD","EUR","2009-08-09","0.70530","0","0"
"000","M","USD","EUR","2009-08-08","0.69900","0","0"
"000","M","USD","EUR","2009-08-05","0.69440","0","0"
"000","M","USD","EUR","2009-08-04","0.69890","0","0"
"000","M","USD","EUR","2009-08-03","0.70160","0","0"
"000","M","USD","EUR","2009-08-02","0.70170","0","0"
"000","M","USD","EUR","2009-07-27","0.70430","0","0"
"000","M","USD","EUR","2009-07-26","0.70440","0","0"
"000","M","USD","EUR","2009-07-25","0.70460","0","0"
"000","M","USD","EUR","2009-07-24","0.70310","0","0"
"000","M","USD","EUR","2009-07-15","0.71560","0","0"
"000","M","USD","EUR","2009-07-14","0.71720","0","0"
"000","M","USD","EUR","2009-07-13","0.71780","0","0"
"000","M","USD","EUR","2009-07-12","0.71780","0","0"
"000","M","USD","EUR","2009-07-11","0.71670","0","0"
"000","M","USD","EUR","2009-07-10","0.71670","0","0"
"000","M","USD","EUR","2009-07-06","0.71560","0","0"
"000","M","USD","EUR","2009-07-05","0.71560","0","0"
"000","M","USD","EUR","2009-06-29","0.71160","0","0"
"000","M","USD","EUR","2009-06-28","0.71160","0","0"
"000","M","USD","EUR","2009-06-26","0.71670","0","0"
"000","M","USD","EUR","2009-06-24","0.71730","0","0"
"000","M","USD","EUR","2009-06-21","0.71780","0","0"
"000","M","USD","EUR","2009-06-19","0.71720","0","0"
"000","M","USD","EUR","2009-06-18","0.72090","0","0"
"000","M","USD","EUR","2009-06-13","0.71160","0","0"
"000","M","USD","EUR","2009-06-11","0.71160","0","0"
"000","M","USD","EUR","2009-06-08","0.71620","0","0"
"000","M","USD","EUR","2009-06-07","0.71620","0","0"
"000","M","USD","EUR","2009-06-05","0.70560","0","0"
"000","M","USD","EUR","2009-06-04","0.70260","0","0"
"000","M","USD","EUR","2009-06-02","0.70560","0","0"
"000","M","USD","EUR","2009-06-01","0.70700","0","0"
"000","M","USD","EUR","2009-05-31","0.70700","0","0"
"000","M","USD","EUR","2009-05-22","0.72470","0","0"
