productsku,calendar_year,calendar_month,inventory,sales,retailer
10727,2019,1,124,29732,10001
28359,2019,1,4438,21624,10001
44660,2019,1,2518,48397,10001
31033,2019,1,2332,56877,10001
22284,2019,1,4928,91399,10001
6103,2019,1,2284,31865,10001
23522,2019,1,1055,50941,10001
40840,2019,1,3367,31592,10001
14385,2019,1,911,1470,10001
5902,2019,1,1832,20865,10001
11772,2019,1,2464,94041,10001
42318,2019,1,2617,91635,10001
21049,2019,1,139,49181,10001
49694,2019,1,166,82889,10001
33739,2019,1,2903,8270,10001
7763,2019,1,340,64392,10001
38247,2019,1,1762,92978,10001
19425,2019,1,3688,60062,10001
43448,2019,1,2641,76993,10001
24521,2019,1,4383,17807,10001
7843,2019,1,727,15585,10001
45934,2019,1,4639,93177,10001
14842,2019,1,3321,5410,10001
29637,2019,1,3527,63123,10001
24484,2019,1,500,6294,10001
28569,2019,1,3526,45509,10001
28821,2019,1,3120,18162,10001
21868,2019,1,1186,30431,10001
32884,2019,1,2848,58678,10001
23268,2019,1,1985,11970,10001
36057,2019,1,4148,48588,10001
4256,2019,1,1551,94615,10001
46529,2019,1,151,48048,10001
37235,2019,1,3221,12772,10001
32837,2019,1,1841,97242,10001
14610,2019,1,2330,93309,10001
29029,2019,1,498,20720,10001
48755,2019,1,73,48104,10001
34189,2019,1,1509,57866,10001
39180,2019,1,599,14063,10001
17751,2019,1,1586,61374,10001
14341,2019,1,4950,99580,10001
38593,2019,1,1659,90914,10001
40225,2019,1,7,8327,10001
31639,2019,1,3052,94895,10001
31347,2019,1,3288,37233,10001
42118,2019,1,465,22197,10001
5344,2019,1,585,84574,10001
6179,2019,1,3568,73726,10001
42203,2019,1,3110,8081,10001
2987,2019,1,1796,2635,10001
9423,2019,1,1831,51006,10001
27047,2019,1,3507,53070,10001
45937,2019,1,1066,21844,10001
41832,2019,1,3577,57987,10001
20392,2019,1,2451,42721,10001
36605,2019,1,1779,55826,10001
34500,2019,1,1165,69848,10001
48551,2019,1,370,75187,10001
44396,2019,1,559,83431,10001
46917,2019,1,1794,83869,10001
1739,2019,1,705,70058,10001
26789,2019,1,2905,95316,10001
21506,2019,1,1750,31295,10001
19728,2019,1,4438,52953,10001
17907,2019,1,287,35996,10001
38193,2019,1,4722,71531,10001
42462,2019,1,2875,15572,10001
27740,2019,1,3063,46752,10001
18484,2019,1,2250,58014,10001
49709,2019,1,226,70575,10001
7712,2019,1,1061,83296,10001
38717,2019,1,130,66447,10001
44748,2019,1,4784,6205,10001
49652,2019,1,1585,67078,10001
18019,2019,1,4760,60064,10001
23358,2019,1,1795,45858,10001
29328,2019,1,3598,43432,10001
30558,2019,1,3103,26671,10001
14710,2019,1,3772,27047,10001
30145,2019,1,2223,86558,10001
3491,2019,1,4520,40894,10001
41982,2019,1,2473,9928,10001
14676,2019,1,4959,57479,10001
29343,2019,1,3694,44347,10001
35134,2019,1,846,24778,10001
27049,2019,1,3010,8870,10001
3879,2019,1,3964,94484,10001
31858,2019,1,2916,53187,10001
24720,2019,1,2443,93889,10001
40523,2019,1,3657,47362,10001
15793,2019,1,2079,89056,10001
48685,2019,1,2991,35996,10001
45328,2019,1,223,71236,10001
24966,2019,1,3123,93825,10001
26211,2019,1,201,62087,10001
37128,2019,1,4378,16965,10001
27796,2019,1,3509,73784,10001
6889,2019,1,400,25891,10001
21300,2019,1,1035,39636,10001
37173,2019,1,2158,37604,10001
41447,2019,1,550,53040,10001
42987,2019,1,1600,25088,10001
23177,2019,1,750,69895,10001
10598,2019,1,3467,83379,10001
4976,2019,1,1815,20247,10001
46528,2019,1,1403,66293,10001
21631,2019,1,3686,86,10001
6537,2019,1,2207,51706,10001
42804,2019,1,2179,25278,10001
34519,2019,1,2380,51527,10001
17880,2019,1,3418,11886,10001
1920,2019,1,998,33874,10001
28725,2019,1,3120,68772,10001
5710,2019,1,2625,15161,10001
43961,2019,1,1828,27906,10001
7543,2019,1,1667,22695,10001
23309,2019,1,3643,62245,10001
26323,2019,1,601,58016,10001
3799,2019,1,4857,35063,10001
36910,2019,1,2017,86776,10001
26896,2019,1,4733,38314,10001
6538,2019,1,4261,21491,10001
32189,2019,1,4405,99399,10001
22940,2019,1,4561,82229,10001
19293,2019,1,2035,3535,10001
43707,2019,1,3232,98058,10001
35391,2019,1,3620,1310,10001
41581,2019,1,3657,5024,10001
20765,2019,1,2383,14300,10001
42703,2019,1,4653,68398,10001
28673,2019,1,4289,16717,10001
29721,2019,1,3317,67835,10001
1989,2019,1,2291,21355,10001
41807,2019,1,3758,96604,10001
10249,2019,1,1072,77512,10001
5023,2019,1,4482,83948,10001
34091,2019,1,710,39257,10001
34416,2019,1,4189,41205,10001
14322,2019,1,4363,53987,10001
18348,2019,1,4107,73548,10001
16591,2019,1,1964,15776,10001
48552,2019,1,3615,22101,10001
13004,2019,1,4278,41190,10001
17223,2019,1,1834,38859,10001
32261,2019,1,3984,48526,10001
42372,2019,1,1738,60267,10001
26249,2019,1,3,49856,10001
44646,2019,1,405,1349,10001
38803,2019,1,1184,39784,10001
17085,2019,1,3198,25633,10001
25057,2019,1,484,53818,10001
49160,2019,1,903,27689,10001
9565,2019,1,3094,6348,10001
7513,2019,1,3056,55524,10001
28727,2019,1,1783,75291,10001
27365,2019,1,1057,47384,10001
46808,2019,1,4404,66086,10001
29885,2019,1,2126,24971,10001
10638,2019,1,1480,43436,10001
17332,2019,1,3440,62255,10001
32088,2019,1,453,69659,10001
19905,2019,1,4828,78815,10001
29078,2019,1,1909,19089,10001
32872,2019,1,3022,3422,10001
39380,2019,1,774,90396,10001
49189,2019,1,4253,98019,10001
36440,2019,1,1063,85733,10001
43608,2019,1,858,70220,10001
8574,2019,1,226,36678,10001
48133,2019,1,2476,55589,10001
9630,2019,1,129,23974,10001
5172,2019,1,2789,65295,10001
2020,2019,1,4700,7890,10001
25036,2019,1,2054,92921,10001
17600,2019,1,4557,73363,10001
27465,2019,1,2340,37749,10001
41481,2019,1,3345,93655,10001
20909,2019,1,4134,31325,10001
11475,2019,1,1524,46317,10001
1802,2019,1,1199,13010,10001
4298,2019,1,2268,89438,10001
3630,2019,1,3676,12345,10001
1998,2019,1,2467,45215,10001
47212,2019,1,643,62944,10001
5797,2019,1,1293,66080,10001
20554,2019,1,719,65937,10001
15959,2019,1,1420,37831,10001
32070,2019,1,2833,56970,10001
2645,2019,1,3204,33842,10001
18997,2019,1,1857,56709,10001
40837,2019,1,4486,50468,10001
5003,2019,1,1854,1937,10001
12487,2019,1,2059,53127,10001
45505,2019,1,1359,67814,10001
25450,2019,1,3616,47895,10001
5658,2019,1,4477,40086,10001
21687,2019,1,4568,36668,10001
37197,2019,1,4166,69118,10001
30634,2019,1,1282,47493,10001
47712,2019,1,2015,37167,10001
