"MANDT","WAERS","ISOCD","ALTWR","GDATU","XPRIMARY"
"000","ADP","ADP","020",,""
"000","AED","AED","784",,""
"000","AFA","AFA","004",,""
"000","AFN","AFN","971",,""
"000","ALL","ALL","008",,""
"000","AMD","AMD","051",,""
"000","ANG","ANG","532",,""
"000","AOA","AOA","973",,""
"000","AON","AON","024",,""
"000","AOR","AOR","982",,""
"000","ARS","ARS","032",,""
"000","ATS","ATS","040",,""
"000","AUD","AUD","036",,""
"000","AWG","AWG","533",,""
"000","AZM","AZM","031",,""
"000","AZN","AZN","944",,""
"000","BAM","BAM","977",,""
"000","BBD","BBD","052",,""
"000","BDT","BDT","050",,""
"000","BEF","BEF","056",,""
"000","BGN","BGN","975",,""
"000","BHD","BHD","048",,""
"000","BIF","BIF","108",,""
"000","BMD","BMD","060",,""
"000","BND","BND","096",,""
"000","BOB","BOB","068",,""
"000","BRL","BRL","986",,""
"000","BSD","BSD","044",,""
"000","BTN","BTN","064",,""
"000","BWP","BWP","072",,""
"000","BYB","BYB","112",,""
"000","BYN","BYN","933",,""
"000","BYR","BYR","974",,""
"000","BZD","BZD","084",,""
"000","CAD","CAD","124",,""
"000","CDF","CDF","976",,""
"000","CFP","XPF","953",,""
"000","CHF","CHF","756",,""
"000","CLP","CLP","152",,"X"
"000","CLP4","CLP","152",,""
"000","CNH","CNH","",,""
"000","CNY","CNY","156",,"X"
"000","COP","COP","170",,""
"000","CRC","CRC","188",,""
"000","CSD","CSD","891",,""
"000","CUC","CUC","931",,""
"000","CUP","CUP","192",,""
"000","CVE","CVE","132",,""
"000","CYP","CYP","196",,""
"000","CZK","CZK","203",,""
"000","DEM","DEM","280",,"X"
"000","DEM3","DEM","280",,""
"000","DJF","DJF","262",,""
"000","DKK","DKK","208",,""
"000","DOP","DOP","214",,""
"000","DZD","DZD","012",,""
"000","ECS","ECS","218",,""
"000","EEK","EEK","233",,""
"000","EGP","EGP","818",,""
"000","ERN","ERN","232",,""
"000","ESP","ESP","724",,""
"000","ETB","ETB","230",,""
"000","EUR","EUR","978",,""
"000","EUR4","EU4","978",,""
"000","FIM","FIM","246",,""
"000","FJD","FJD","242",,""
"000","FKP","FKP","238",,""
"000","FRF","FRF","250",,""
"000","GBP","GBP","826",,""
"000","GEL","GEL","981",,""
"000","GHC","GHC","288",,""
"000","GHS","GHS","936",,""
"000","GIP","GIP","292",,""
"000","GMD","GMD","270",,""
"000","GNF","GNF","324",,""
"000","GRD","GRD","300",,""
"000","GTQ","GTQ","320",,""
"000","GWP","GWP","624",,""
"000","GYD","GYD","328",,""
"000","HKD","HKD","344",,""
"000","HNL","HNL","340",,""
"000","HRK","HRK","191",,""
"000","HTG","HTG","332",,""
"000","HUF","HUF","348",,""
"000","IDR","IDR","360",,""
"000","IEP","IEP","372",,""
"000","ILS","ILS","376",,""
"000","INR","INR","356",,""
"000","IQD","IQD","368",,""
"000","IRR","IRR","364",,""
"000","ISK","ISK","352",,""
"000","ITL","ITL","380",,""
"000","JMD","JMD","388",,""
"000","JOD","JOD","400",,""
"000","JPY","JPY","392",,""
"000","KES","KES","404",,""
"000","KGS","KGS","417",,""
"000","KHR","KHR","116",,""
"000","KMF","KMF","174",,""
"000","KPW","KPW","408",,""
"000","KRW","KRW","410",,""
"000","KWD","KWD","414",,""
"000","KYD","KYD","136",,""
"000","KZT","KZT","398",,""
"000","LAK","LAK","418",,""
"000","LBP","LBP","422",,""
"000","LKR","LKR","144",,""
"000","LRD","LRD","430",,""
"000","LSL","LSL","426",,""
"000","LTL","LTL","440",,""
"000","LUF","LUF","442",,""
"000","LVL","LVL","428",,""
"000","LYD","LYD","434",,""
"000","MAD","MAD","504",,""
"000","MDL","MDL","498",,""
"000","MGA","MGA","969",,""
"000","MGF","MGF","450",,""
"000","MKD","MKD","807",,""
"000","MMK","MMK","104",,""
"000","MNT","MNT","496",,""
"000","MOP","MOP","446",,""
"000","MRO","MRO","478",,""
"000","MTL","MTL","470",,""
"000","MUR","MUR","480",,""
"000","MVR","MVR","462",,""
"000","MWK","MWK","454",,""
"000","MXN","MXN","484",,""
"000","MYR","MYR","458",,""
"000","MZM","MZM","508",,""
"000","MZN","MZN","943",,""
"000","NAD","NAD","516",,""
"000","NGN","NGN","566",,""
"000","NIO","NIO","558",,""
"000","NLG","NLG","528",,""
"000","NOK","NOK","578",,""
"000","NPR","NPR","524",,""
"000","NZD","NZD","554",,"X"
"000","NZD5","NZD","554",,""
"000","OMR","OMR","512",,""
"000","PAB","PAB","590",,""
"000","PEN","PEN","604",,""
"000","PGK","PGK","598",,""
"000","PHP","PHP","608",,""
"000","PKR","PKR","586",,""
"000","PLN","PLN","985",,""
"000","PTE","PTE","620",,""
"000","PYG","PYG","600",,""
"000","QAR","QAR","634",,""
"000","RMB","CNY","156",,""
"000","ROL","ROL","642",,""
"000","RON","RON","946",,""
"000","RSD","RSD","941",,""
"000","RUB","RUB","643",,""
"000","RWF","RWF","646",,""
"000","SAR","SAR","682",,""
"000","SBD","SBD","090",,""
"000","SCR","SCR","690",,""
"000","SDD","SDD","736",,""
"000","SDG","SDG","938",,""
"000","SDP","SDP","736",,""
"000","SEK","SEK","752",,""
"000","SGD","SGD","702",,""
"000","SHP","SHP","654",,""
"000","SIT","SIT","705",,""
"000","SKK","SKK","703",,""
"000","SLL","SLL","694",,""
"000","SOS","SOS","706",,""
"000","SRD","SRD","968",,""
"000","SRG","SRG","740",,""
"000","SSP","SSP","728",,""
"000","STD","STD","678",,""
"000","SVC","SVC","222",,""
"000","SYP","SYP","760",,""
"000","SZL","SZL","748",,""
"000","THB","THB","764",,""
"000","TJR","TJR","762",,""
"000","TJS","TJS","972",,""
"000","TMM","TMM","795",,""
"000","TMT","TMT","934",,""
"000","TND","TND","788",,""
"000","TOP","TOP","776",,""
"000","TPE","TPE","626",,""
"000","TRL","TRL","792",,""
"000","TRY","TRY","949",,""
"000","TTD","TTD","780",,""
"000","TWD","TWD","901",,""
"000","TZS","TZS","834",,""
"000","UAH","UAH","980",,""
"000","UF","CLP","152",,""
"000","UGX","UGX","800",,""
"000","USD","USD","840",,"X"
"000","USDN","USD","840",,""
"000","UTM","CLP","152",,""
"000","UYU","UYU","858",,""
"000","UZS","UZS","860",,""
"000","VEB","VEB","862",,""
"000","VEF","VEF","937",,""
"000","VND","VND","704",,""
"000","VUV","VUV","548",,""
"000","WST","WST","882",,""
"000","XAF","XAF","950",,""
"000","XCD","XCD","951",,""
"000","XEU","XEU","954",,""
"000","XOF","XOF","952",,""
"000","XPF","XPF","953",,"X"
"000","YER","YER","886",,""
"000","YUM","YUM","891",,""
"000","ZAR","ZAR","710",,""
"000","ZMK","ZMK","894",,""
"000","ZMW","ZMW","967",,""
"000","ZRN","ZRN","180",,""
"000","ZWD","ZWD","716",,""
"000","ZWL","ZWL","932",,""
