"MANDT","KURST","XINVR","BWAER","XBWRL","GKUZU","BKUZU","XFIXD","XEURO"
"000","100*","","","","","","",""
"000","1001","","","","","","",""
"000","1002","","","","","","",""
"000","1003","","","","","","",""
"000","1004","","","","","","",""
"000","200*","","","","","","",""
"000","2001","","","","","","",""
"000","2002","","","","","","",""
"000","2003","","","","","","",""
"000","2004","","","","","","",""
"000","AVG","","","","","","",""
"000","AVG1","","","","","","",""
"000","B","","","","","","",""
"000","CLO","","","","","","",""
"000","CLO1","","","","","","",""
"000","CPET","","","","","","",""
"000","EURO","","EUR","Y","","","X","X"
"000","EURX","","EUR","Y","","","","X"
"000","G","","","","","","",""
"000","I","","","","","","",""
"000","INC2","","","","","","",""
"000","M","","USD","","","","",""
"000","MCA","","EUR","","","","",""
"000","P","","USD","","","","",""
"000","ZDJ","","USD","","","","",""
"000","ZJCM","","USD","","","","",""
